"","names","years","G","AB","R","H","X2B","HR","RBI","BB","BA","PA","TB","SlugPct","OBP","OPS","m1","m2","m3","m4"
"1","Luis Aparicio","18","2601","10230","1335","2677","394","83","791","736","0.262","11230","3504","0.343","0.311","0.654","0.0656061958141843","0.0632741793679551","0.0642869273018709","0.0631772720780978"
"2","Home Run Baker","13","1575","5984","887","1838","315","96","987","473","0.307","6660","2647","0.442","0.363","0.805","0.183459550324073","0.19713601817382","0.178030568263742","0.196836790616024"
"3","Dave Bancroft","16","1913","7182","1048","2004","320","32","591","827","0.279","8244","2574","0.358","0.355","0.713","0.0661468426597875","0.069852043420855","0.062225469495041","0.0696631322142915"
"6","Lou Boudreau","15","1646","6029","861","1779","385","68","789","796","0.295","7023","2500","0.415","0.38","0.795","0.0685671455431446","0.0744300877090475","0.0640499214898903","0.0742189986992446"
"7","Roger Bresnahan","17","1446","4481","682","1252","218","26","530","714","0.279","5374","1690","0.377","0.386","0.763","0.0239858868074749","0.0198074180183602","0.0203894275068403","0.019665899703176"
"9","Roy Campanella","10","1215","4205","627","1161","178","242","856","533","0.276","4816","2101","0.5","0.36","0.86","0.0129656861358363","0.0133418815745136","0.0109393884021153","0.0132293222914449"
"10","Max Carey","20","2476","9363","1545","2665","419","70","800","1040","0.285","10770","3612","0.386","0.361","0.747","0.340948844533761","0.374861103265279","0.345099120146095","0.375113178614653"
"12","Orlando Cepeda","17","2124","7927","1131","2351","417","379","1365","588","0.297","8695","3959","0.499","0.35","0.849","0.330919558117503","0.285080857644837","0.332543073140451","0.285070194444783"
"13","Frank Chance","17","1288","4299","798","1274","200","20","596","556","0.296","5103","1692","0.394","0.394","0.788","0.124059169713198","0.108647134952063","0.111639088577469","0.108145758740258"
"15","Jimmy Collins","14","1725","6795","1055","1999","352","65","983","426","0.294","7452","2778","0.409","0.343","0.752","0.177757582020331","0.1499274183058","0.17397859989057","0.149730419924878"
"16","Earle Combs","12","1455","5746","1186","1866","309","58","632","670","0.325","6507","2657","0.462","0.397","0.859","0.281241058679913","0.3276865351483","0.279030334126651","0.327535436833866"
"17","Larry Doby","13","1533","5348","960","1515","243","253","970","871","0.283","6302","2621","0.49","0.386","0.876","0.0833401174752789","0.0752372410638855","0.0767602669238576","0.0749668008166632"
"19","Johnny Evers","18","1784","6137","919","1659","216","12","538","778","0.27","7210","2051","0.334","0.356","0.69","0.0992340001812014","0.116306828465741","0.0902540315219162","0.115814049823901"
"20","Buck Ewing","18","1315","5363","1129","1625","250","71","883","392","0.303","5772","2444","0.456","0.351","0.807","0.328412302791048","0.316675859334925","0.319741565559012","0.31607579756191"
"21","Rick Ferrell","18","1884","6028","687","1692","324","28","734","931","0.281","7072","2190","0.363","0.378","0.741","0.0605527750738673","0.0444366215520028","0.0545230940083273","0.0442556042012553"
"23","Elmer Flick","13","1483","5597","950","1752","268","48","756","597","0.313","6414","2492","0.445","0.389","0.834","0.301903337497416","0.310606763998062","0.29424004481136","0.310312485114431"
"24","Joe Gordon","11","1566","5707","914","1530","264","253","975","759","0.268","6536","2657","0.466","0.357","0.823","0.0236558531801625","0.022355375378225","0.0212245308882648","0.0222423963825859"
"25","Chick Hafey","13","1283","4625","777","1466","341","164","833","372","0.317","5113","2433","0.526","0.372","0.898","0.0675866127193911","0.0568646116405998","0.0624026998077764","0.0565739462638603"
"27","Billy Herman","15","1922","7707","1163","2345","486","47","839","737","0.304","8641","3136","0.407","0.367","0.774","0.237973335481895","0.23409866559372","0.238331261880422","0.234161880968172"
"28","Harry Hooper","17","2309","8785","1429","2466","389","75","817","1136","0.281","10244","3400","0.387","0.368","0.755","0.230094746370631","0.248488415895688","0.229949324046572","0.248588964426536"
"29","Travis Jackson","15","1656","6086","833","1768","291","135","929","412","0.291","6679","2636","0.433","0.337","0.77","0.0702806503880144","0.0826883439478025","0.0658214309063785","0.082393251932162"
"30","George Kell","15","1795","6702","881","2054","385","78","870","621","0.306","7528","2773","0.414","0.367","0.781","0.144934289475469","0.15028803314371","0.14089470385157","0.15011050433871"
"31","High Pockets Kelly","16","1622","5993","819","1778","337","148","1020","386","0.297","6565","2711","0.452","0.342","0.794","0.0939396834371312","0.0982222018901224","0.0886738585184064","0.0978971124259514"
"32","King Kelly","16","1456","5896","1357","1813","359","69","950","549","0.307","6457","2583","0.438","0.368","0.806","0.318028578019272","0.305104036655801","0.316132041709987","0.304928997568833"
"33","Ralph Kiner","10","1472","5205","971","1451","216","369","1015","1011","0.279","6256","2852","0.548","0.398","0.946","0.0843494619875337","0.0548908967574165","0.0769728711515868","0.0546620913447011"
"35","Tony Lazzeri","14","1740","6297","986","1840","334","178","1191","869","0.292","7303","2938","0.467","0.38","0.847","0.203418606974858","0.21572097125286","0.196837618883553","0.215473295128232"
"36","Freddie Lindstrom","13","1438","5611","895","1747","301","103","779","334","0.311","6104","2519","0.449","0.351","0.8","0.0924389559570828","0.0892211546808047","0.0882503440403404","0.0889473557913414"
"37","Ernie Lombardi","17","1853","5855","601","1792","277","190","990","430","0.306","6349","2693","0.46","0.358","0.818","0.0966083322872116","0.0498186050862036","0.0899566166294625","0.0496538609316507"
"39","Bill Mazeroski","17","2163","7755","769","2016","294","138","853","447","0.26","8379","2848","0.367","0.299","0.666","0.0149894051568286","0.0146082304211785","0.0135546342253579","0.0145330636734491"
"40","Tommy McCarthy","13","1273","5120","1066","1493","191","44","732","536","0.292","5739","1922","0.375","0.364","0.739","0.114345389592317","0.115779532228885","0.107424050799958","0.115429794008005"
"42","Kirby Puckett","12","1783","7244","1071","2304","414","207","1085","450","0.318","7831","3453","0.477","0.36","0.837","0.251250047573006","0.204910702701435","0.254488066031366","0.204959219536151"
"44","Phil Rizzuto","13","1661","5816","877","1588","239","38","563","651","0.273","6711","2065","0.355","0.351","0.706","0.0200461142816604","0.0216842000217031","0.0178757169167764","0.0215666949344792"
"46","Jackie Robinson","10","1382","4877","947","1518","273","137","734","740","0.311","5802","2310","0.474","0.409","0.883","0.0786285324183171","0.0813950613222828","0.0737165803066303","0.0811567587376308"
"48","Ron Santo","15","2243","8143","1138","2254","365","342","1331","1108","0.277","9396","3779","0.464","0.362","0.826","0.189886337903586","0.224740069146195","0.186972398396973","0.224677023660941"
"49","Ray Schalk","18","1762","5306","579","1345","199","11","594","638","0.253","6217","1675","0.316","0.34","0.656","0.0180416226063477","0.0176930530017878","0.0149743109601583","0.0175384854386719"
"50","Red Schoendienst","19","2216","8479","1223","2449","427","84","773","606","0.289","9222","3284","0.387","0.337","0.724","0.132474618351248","0.107143013589917","0.131180862078084","0.107074354739228"
"51","Ozzie Smith","19","2573","9396","1257","2460","402","28","793","1072","0.262","10778","3084","0.328","0.337","0.665","0.142843467654511","0.162522445321362","0.138948731552335","0.16231493010052"
"52","Joe Tinker","15","1806","6441","774","1690","263","31","783","416","0.262","7152","2274","0.353","0.308","0.661","0.0304165637743418","0.0401821310093414","0.0271670169289239","0.039953076745534"
"54","John Ward","17","1827","7656","1410","2107","231","26","869","421","0.275","8114","2608","0.341","0.314","0.655","0.361301151493334","0.264141819022902","0.358990611844854","0.263950767045476"
"55","Hack Wilson","12","1348","4760","884","1461","266","244","1063","674","0.307","5556","2593","0.545","0.395","0.94","0.186135068333926","0.198920448644067","0.175638653665357","0.198286434700565"
"56","Ross Youngs","10","1211","4627","812","1491","236","42","592","550","0.322","5333","2039","0.441","0.399","0.84","0.11720463613591","0.148883457688633","0.109933284782131","0.148464356534644"
"11","HOF Average","18.0063694267516","2161.28662420382","8007.65605095541","1338.36942675159","2419.28025477707","416.859872611465","224.101910828025","1231.64968152866","913.146496815287","0.302292993630573","9109.53503184713","3719.9872611465","0.464114649681529","0.375974522292994","0.840089171974522","0.516974021766447","0.514887852484819","0.519773636805778","0.515027152536856"
