"","names","years","G","AB","R","H","X2B","HR","RBI","BB","BA","PA","TB","SlugPct","OBP","OPS","m1","m2","m3","m4"
"410","Robinson Cano","15","2185","8502","1234","2570","562","324","1272","607","0.302","9264","4170","0.49","0.352","0.842","0.255778336970214","0.190039077583859","0.260502672720219","0.190164375273131"
"543","Johnny Damon","18","2490","9736","1668","2769","522","235","1139","1003","0.284","10917","4214","0.433","0.352","0.785","0.29925873869763","0.303729997331742","0.306938723112045","0.304100291568618"
"666","Dwight Evans","20","2606","8996","1470","2446","483","385","1384","1391","0.272","10569","4230","0.47","0.37","0.84","0.311808232510279","0.341261984717962","0.312322171269386","0.34141435642613"
"774","Jason Giambi","20","2260","7267","1227","2010","405","440","1441","1366","0.277","8908","3753","0.516","0.399","0.915","0.37501097825505","0.343320923345656","0.368227653330758","0.343183276887407"
"798","Luis Gonzalez","19","2591","9157","1412","2591","596","354","1439","1155","0.283","10531","4385","0.479","0.367","0.846","0.331379070678351","0.318147824622017","0.335443663325254","0.318402685126377"
"1093","Jeff Kent","17","2298","8498","1320","2461","560","377","1518","801","0.29","9537","4246","0.5","0.356","0.856","0.332209221979949","0.324206217073207","0.336164979549949","0.32430054135435"
"1269","Joe Mauer","15","1858","6930","1018","2123","428","143","923","939","0.306","7960","3040","0.439","0.388","0.827","0.168216983661966","0.168381097911335","0.1656323370448","0.168356562251968"
"1309","Mark McGwire","16","1874","6187","1167","1626","252","583","1414","1317","0.263","7660","3639","0.588","0.394","0.982","0.352282619618142","0.297196430118269","0.335973010677014","0.296488870730899"
"1664","Jimmy Rollins","17","2275","9294","1421","2455","511","231","936","813","0.264","10240","3889","0.418","0.324","0.742","0.0461205153011656","0.0472334775271641","0.0449312424548219","0.0471585403600861"
"1926","Chase Utley","16","1937","6857","1103","1885","411","259","1025","724","0.275","7863","3189","0.465","0.358","0.823","0.0589589033366462","0.0470138674809657","0.0555422564384352","0.0468778926165985"
"2029","Bernie Williams","16","2076","7869","1366","2336","449","287","1257","1069","0.297","9053","3756","0.477","0.381","0.858","0.369828341503746","0.39683956081778","0.374122680105607","0.397119006744927"
"1","HOF Average","18.0063694267516","2161.28662420382","8007.65605095541","1338.36942675159","2419.28025477707","416.859872611465","224.101910828025","1231.64968152866","913.146496815287","0.302292993630573","9109.53503184713","3719.9872611465","0.464114649681529","0.375974522292994","0.840089171974522","0.516974021766447","0.514887852484819","0.519773636805778","0.515027152536856"
