"","names","years","G","AB","R","H","X2B","HR","RBI","BB","BA","PA","TB","SlugPct","OBP","OPS","m1","m2","m3","m4"
"1","Bobby Abreu","18","2425","8480","1453","2470","574","288","1363","1476","0.291","10081","4026","0.475","0.395","0.87","0.409717526827817","0.403456919009657","0.415242201147494","0.403912603466962"
"2","Harold Baines","22","2830","9908","1299","2866","488","384","1628","1062","0.289","11092","4604","0.465","0.356","0.821","0.61733231915294","0.636822367241161","0.627675667972962","0.637425514987068"
"3","Adrian Beltre","21","2933","11068","1524","3166","636","477","1707","848","0.286","12130","5309","0.48","0.339","0.819","0.549093816379425","0.507004347240757","0.564660980712195","0.50771938819563"
"4","Carlos Beltran","20","2586","9768","1582","2725","565","435","1587","1084","0.279","11031","4751","0.486","0.35","0.836","0.439352668472939","0.499553595882164","0.448034498804433","0.499920308588447"
"5","Barry Bonds","22","2986","9847","2227","2935","601","762","1996","2558","0.298","12606","5976","0.607","0.444","1.051","0.972808698690899","0.96171522232232","0.975579946946983","0.961950221443074"
"6","Steve Brodie","12","1438","5703","886","1728","191","25","900","420","0.303","6342","2172","0.381","0.365","0.746","0.470992943278172","0.408602172580252","0.463223254625837","0.408439838278935"
"7","Miguel Cabrera","17","2400","8949","1429","2815","577","477","1694","1135","0.315","10236","4857","0.543","0.392","0.935","0.788829602315772","0.79919058779063","0.801586968535598","0.7997806218277"
"8","Cupid Childs","13","1457","5622","1214","1721","205","20","743","991","0.306","6766","2188","0.389","0.416","0.805","0.64676317957572","0.690989964694308","0.643708770341665","0.691190535807731"
"9","Doc Cramer","20","2239","9140","1357","2705","396","37","842","572","0.296","9933","3430","0.375","0.34","0.715","0.543162323640281","0.489039551159052","0.551687077681413","0.489467084676783"
"10","Lave Cross","21","2277","9084","1338","2651","411","47","1378","466","0.292","9741","3475","0.383","0.329","0.712","0.775434186843485","0.738861074104707","0.784120244456836","0.739332418311063"
"11","Bill Dahlen","21","2444","9036","1590","2461","413","84","1234","1064","0.272","10405","3452","0.382","0.358","0.74","0.51558930082992","0.514928284890272","0.520158926894595","0.515334721181482"
"12","Jake Daubert","15","2014","7673","1117","2326","250","56","722","623","0.303","8742","3074","0.401","0.36","0.761","0.411934466502532","0.534973452351796","0.41332453933247","0.535010017638262"
"13","Patsy Donovan","17","1824","7505","1321","2256","208","16","738","457","0.301","8172","2662","0.355","0.348","0.703","0.766532439669629","0.723794942312028","0.771591713537937","0.724121562704646"
"14","Jack Doyle","17","1569","6055","977","1811","316","25","971","440","0.299","6589","2330","0.385","0.351","0.736","0.38996562251966","0.354486941775869","0.382646438944285","0.354216800885543"
"15","Julio Franco","23","2527","8677","1285","2586","407","173","1194","917","0.298","9731","3620","0.417","0.365","0.782","0.587704189953962","0.625408749525552","0.595344271332369","0.62589048483981"
"16","Larry Gardner","17","1923","6688","867","1931","301","27","934","654","0.289","7685","2571","0.384","0.355","0.739","0.33269304081682","0.485285828274161","0.322890654709221","0.484797210911225"
"17","Todd Helton","17","2247","7962","1401","2519","592","369","1406","1335","0.316","9450","4292","0.539","0.414","0.953","0.680643080157337","0.677972450970118","0.692129602484262","0.678568244075167"
"18","Shoeless Joe Jackson","13","1332","4981","873","1772","307","54","785","519","0.356","5690","2577","0.517","0.423","0.94","0.733450728203618","0.874265474100398","0.736233819257852","0.874296643869965"
"19","Derek Jeter","20","2747","11195","1923","3465","544","260","1311","1082","0.31","12602","4921","0.44","0.377","0.817","0.827443453611016","0.832893830073303","0.843850425255898","0.833758426443217"
"20","Joe Judge","20","2171","7898","1184","2352","433","71","1034","965","0.298","9171","3316","0.42","0.378","0.798","0.514394843131155","0.593065323232337","0.516586157941791","0.593302058764206"
"21","Edgar Martinez","18","2055","7213","1219","2247","514","309","1261","1283","0.312","8672","3718","0.515","0.418","0.933","0.526800066633471","0.53763602494012","0.531394014187146","0.53799395043422"
"22","Fred McGriff","19","2460","8757","1349","2490","441","493","1550","1305","0.284","10174","4458","0.509","0.377","0.886","0.516569687578304","0.485266581583715","0.521355572113211","0.48565060611264"
"23","Stuffy McInnis","19","2128","7822","872","2405","312","20","1063","380","0.307","8623","2979","0.381","0.343","0.724","0.794947163379548","0.810744124500041","0.798191930285825","0.810940989611551"
"24","Ed McKean","13","1655","6894","1227","2084","272","67","1124","636","0.302","7626","2873","0.417","0.365","0.782","0.577319171434805","0.591307770123892","0.581377163543798","0.5916362142348"
"25","Buddy Myer","17","1923","7038","1174","2131","353","38","850","965","0.303","8187","2858","0.406","0.389","0.795","0.499576434849619","0.564698738081366","0.499368488780446","0.564906840305496"
"26","Al Oliver","18","2368","9049","1189","2743","529","219","1326","535","0.303","9778","4083","0.451","0.344","0.795","0.408487828460379","0.342221498304074","0.417870416462871","0.34259939240471"
"27","David Ortiz","20","2408","8640","1419","2472","632","541","1768","1319","0.286","10091","4765","0.552","0.38","0.932","0.560520295113317","0.51482701360945","0.566205998548484","0.515076925214511"
"28","Rafael Palmeiro","20","2831","10472","1663","3020","585","569","1835","1353","0.288","12046","5388","0.515","0.371","0.886","0.729662998137329","0.715588056820975","0.743359464095397","0.716319383039313"
"29","Dave Parker","19","2466","9358","1272","2712","526","339","1493","683","0.29","10184","4405","0.471","0.339","0.81","0.387226183135609","0.357867368071583","0.394361249176149","0.358149804923637"
"30","Albert Pujols","19","2823","10687","1828","3202","661","656","2075","1322","0.3","12231","5863","0.549","0.379","0.928","0.871139226806036","0.865651611048558","0.882453844298133","0.866218697314741"
"31","Manny Ramirez","19","2302","8244","1544","2574","547","555","1831","1329","0.312","9774","4826","0.585","0.411","0.996","0.889495069625421","0.875884029407374","0.896520737789279","0.876256149470721"
"32","Alex Rodriguez","22","2784","10566","2021","3115","548","696","2086","1338","0.295","12207","5813","0.55","0.38","0.93","0.928670918041515","0.924864010717676","0.935476446079998","0.925214960271914"
"33","Pete Rose","24","3562","14053","2165","4256","746","160","1314","1566","0.303","15861","5752","0.409","0.375","0.784","0.904642063635676","0.896637932770168","0.916697337359269","0.897372596543366"
"34","Jimmy Ryan","18","2014","8172","1643","2513","451","118","1093","804","0.308","9124","3632","0.444","0.375","0.819","0.646531407234537","0.661208744357763","0.659269650496238","0.661829660341362"
"35","Gary Sheffield","22","2576","9217","1636","2689","467","509","1676","1475","0.292","10947","4737","0.514","0.393","0.907","0.807260844408565","0.813384336228793","0.81615697062312","0.813890165789148"
"36","Sammy Sosa","18","2354","8813","1475","2408","379","609","1667","929","0.273","9896","4704","0.534","0.344","0.878","0.501314264449416","0.51451198254101","0.505150866706698","0.514580850801293"
"37","Rusty Staub","23","2951","9720","1189","2716","499","292","1466","1255","0.279","11229","4185","0.431","0.362","0.793","0.415353835416486","0.444945196457015","0.418404814470447","0.44532938066865"
"38","Ichiro Suzuki","19","2653","9934","1420","3089","362","117","780","647","0.311","10734","3994","0.402","0.355","0.757","0.572913954927641","0.479889196928371","0.589381505571114","0.480783647770549"
"39","Fred Tenney","17","1994","7595","1278","2231","270","22","688","874","0.294","8809","2721","0.358","0.371","0.729","0.496375931630555","0.579185606637463","0.496738551126454","0.579321033373001"
"40","Mike Tiernan","13","1478","5915","1316","1838","257","106","853","748","0.311","6732","2737","0.463","0.392","0.855","0.431749611254884","0.466863416820578","0.431324428867585","0.46690038258623"
"41","George Van Haltren","17","1990","8043","1642","2544","286","69","1015","871","0.316","9017","3359","0.418","0.386","0.804","0.882934238021019","0.901539737096851","0.891004081151979","0.901940656817862"
"42","Bobby Veach","14","1821","6656","953","2063","393","64","1166","571","0.31","7557","2942","0.442","0.37","0.812","0.442553932486156","0.560759695974903","0.441905148071572","0.560694677041892"
"43","Omar Vizquel","24","2968","10586","1445","2877","456","80","951","1028","0.272","12013","3727","0.352","0.336","0.688","0.337569571124426","0.43011060388602","0.34131469595263","0.430304910581221"
